Lambda,Method,10,20,30,40,50
4.387877551020408,Vasicek,0.462,0.825,0.977,0.9945,0.9995
4.387877551020408,Shapiro,0.437,0.83,0.9725,0.995,0.9985
4.489897959183673,Vasicek,0.456,0.8485,0.9845,0.998,1.0
4.489897959183673,Shapiro,0.4355,0.839,0.9735,0.996,1.0
4.591918367346938,Vasicek,0.4635,0.859,0.9705,0.998,0.999
4.591918367346938,Shapiro,0.4435,0.843,0.963,0.998,0.999
4.693938775510204,Vasicek,0.4635,0.835,0.977,0.9965,1.0
4.693938775510204,Shapiro,0.4515,0.8225,0.966,0.9945,0.9995
4.795959183673469,Vasicek,0.457,0.843,0.978,0.996,0.9995
4.795959183673469,Shapiro,0.4415,0.8415,0.9675,0.9945,0.9985
4.897979591836735,Vasicek,0.4665,0.843,0.975,0.9975,1.0
4.897979591836735,Shapiro,0.447,0.8325,0.9635,0.9945,0.9995
5.0,Vasicek,0.483,0.842,0.978,0.998,0.9985
5.0,Shapiro,0.4595,0.8295,0.971,0.996,0.999
