n,1,2,3,4,5,6,7,8,9,10,11,12,13
131,,,,,,,,,,3.73,3.73,,
132,,,,,,,,,,3.73,3.73,,
133,,,,,,,,,,3.73,3.73,,
134,,,,,,,,,,3.73,3.73,,
135,,,,,,,,,,3.73,3.73,,
136,,,,,,,,,,3.74,3.74,,
137,,,,,,,,,,3.74,3.73,,
138,,,,,,,,,,3.74,3.74,,
139,,,,,,,,,,3.75,3.75,,
140,,,,,,,,,,,3.74,,
141,,,,,,,,,,,3.74,,
142,,,,,,,,,,,3.7495000000000003,,
143,,,,,,,,,,,3.75,,
144,,,,,,,,,,,3.75,3.75,
145,,,,,,,,,,,3.7595,3.75,
146,,,,,,,,,,,3.75,3.75,
147,,,,,,,,,,,3.76,3.7595,
148,,,,,,,,,,,3.76,3.75,
149,,,,,,,,,,,3.76,3.76,
150,,,,,,,,,,,3.76,3.76,
151,,,,,,,,,,,3.76,3.76,
152,,,,,,,,,,,3.77,3.76,
153,,,,,,,,,,,3.76,3.77,
154,,,,,,,,,,,3.7695000000000003,3.77,
155,,,,,,,,,,,3.77,3.77,
156,,,,,,,,,,,3.77,3.77,
157,,,,,,,,,,,3.77,3.77,
158,,,,,,,,,,,3.78,3.77,
159,,,,,,,,,,,3.78,3.78,
160,,,,,,,,,,,3.78,3.77,
161,,,,,,,,,,,,3.78,
162,,,,,,,,,,,,3.78,
163,,,,,,,,,,,,3.78,
164,,,,,,,,,,,,3.78,
165,,,,,,,,,,,,3.79,
166,,,,,,,,,,,,3.79,
167,,,,,,,,,,,,3.79,
168,,,,,,,,,,,,3.79,
169,,,,,,,,,,,,3.79,3.79
170,,,,,,,,,,,,3.7995,3.79
171,,,,,,,,,,,,3.79,3.79
172,,,,,,,,,,,,3.8,3.8
173,,,,,,,,,,,,3.8,3.8
174,,,,,,,,,,,,3.8,3.8
175,,,,,,,,,,,,3.8,3.8
176,,,,,,,,,,,,3.8,3.8
177,,,,,,,,,,,,3.8,3.8
178,,,,,,,,,,,,3.81,3.8
179,,,,,,,,,,,,3.81,3.81
180,,,,,,,,,,,,3.81,3.81
181,,,,,,,,,,,,3.81,3.8
182,,,,,,,,,,,,3.81,3.81
183,,,,,,,,,,,,3.81,3.81
184,,,,,,,,,,,,,3.81
185,,,,,,,,,,,,,3.81
186,,,,,,,,,,,,,3.82
187,,,,,,,,,,,,,3.81
188,,,,,,,,,,,,,3.82
189,,,,,,,,,,,,,3.82
190,,,,,,,,,,,,,3.82
191,,,,,,,,,,,,,3.82
192,,,,,,,,,,,,,3.82
193,,,,,,,,,,,,,3.82
194,,,,,,,,,,,,,3.82
195,,,,,,,,,,,,,3.83
196,,,,,,,,,,,,,3.83
197,,,,,,,,,,,,,3.82
198,,,,,,,,,,,,,3.83
199,,,,,,,,,,,,,3.83
200,,,,,,,,,,,,,
